dataset,feature_x,feature_y,feature_x_value,feature_y_value,prediction,pdp_n
Daily bike rentals,temp,hum,0.426959675,0.4457291666666667,4469.16977823126,50
Daily bike rentals,temp,hum,0.426959675,0.48624999999999996,4471.9019222799,50
Daily bike rentals,temp,hum,0.426959675,0.5267708333333333,4470.9851975714155,50
Daily bike rentals,temp,hum,0.426959675,0.5672916666666666,4460.173409471479,50
Daily bike rentals,temp,hum,0.426959675,0.6078125,4451.473447326519,50
Daily bike rentals,temp,hum,0.426959675,0.6483333333333333,4412.596837307771,50
Daily bike rentals,temp,hum,0.426959675,0.6888541666666667,4343.216627861274,50
Daily bike rentals,temp,hum,0.426959675,0.729375,4261.802096680018,50
Daily bike rentals,temp,hum,0.426959675,0.7698958333333333,4142.54817548069,50
Daily bike rentals,temp,hum,0.426959675,0.8104166666666667,3991.725469795935,50
Daily bike rentals,temp,hum,0.426959675,0.8509375,3773.246390061057,50
Daily bike rentals,temp,hum,0.426959675,0.8914583333333334,3684.3685120455984,50
Daily bike rentals,temp,hum,0.426959675,0.9319791666666667,3593.445634342635,50
Daily bike rentals,temp,hum,0.426959675,0.9725,3561.3588457712062,50
Daily bike rentals,temp,hum,0.46039869999999994,0,4832.816362104969,50
Daily bike rentals,temp,hum,0.46039869999999994,0.04052083333333333,4832.816362104969,50
Daily bike rentals,temp,hum,0.46039869999999994,0.08104166666666666,4832.816362104969,50
Daily bike rentals,temp,hum,0.46039869999999994,0.12156249999999999,4835.646768104969,50
Daily bike rentals,temp,hum,0.46039869999999994,0.16208333333333333,4838.288946771636,50
Daily bike rentals,temp,hum,0.46039869999999994,0.20260416666666667,4840.775932771636,50
Daily bike rentals,temp,hum,0.46039869999999994,0.24312499999999998,4841.384632771636,50
Daily bike rentals,temp,hum,0.46039869999999994,0.2836458333333333,4842.4133947716355,50
Daily bike rentals,temp,hum,0.46039869999999994,0.32416666666666666,4842.782408503237,50
Daily bike rentals,temp,hum,0.46039869999999994,0.3646875,4851.751662407999,50
Daily bike rentals,temp,hum,0.46039869999999994,0.40520833333333334,4855.6904139318085,50
Daily bike rentals,temp,hum,0.46039869999999994,0.4457291666666667,4855.028639434228,50
Daily bike rentals,temp,hum,0.46039869999999994,0.48624999999999996,4852.468841924426,50
Daily bike rentals,temp,hum,0.46039869999999994,0.5267708333333333,4844.509021104831,50
Daily bike rentals,temp,hum,0.46039869999999994,0.5672916666666666,4824.833866839883,50
Daily bike rentals,temp,hum,0.46039869999999994,0.6078125,4815.618507144076,50
Daily bike rentals,temp,hum,0.46039869999999994,0.6483333333333333,4778.249290477976,50
Daily bike rentals,temp,hum,0.46039869999999994,0.6888541666666667,4730.9687975863735,50
Daily bike rentals,temp,hum,0.46039869999999994,0.729375,4683.739857663181,50
Daily bike rentals,temp,hum,0.46039869999999994,0.7698958333333333,4552.971907909456,50
Daily bike rentals,temp,hum,0.46039869999999994,0.8104166666666667,4440.676516228586,50
Daily bike rentals,temp,hum,0.46039869999999994,0.8509375,4201.447999534569,50
Daily bike rentals,temp,hum,0.46039869999999994,0.8914583333333334,4098.718511090538,50
Daily bike rentals,temp,hum,0.46039869999999994,0.9319791666666667,3968.082379131165,50
Daily bike rentals,temp,hum,0.46039869999999994,0.9725,3941.051409226403,50
Daily bike rentals,temp,hum,0.493837725,0,5020.668223974858,50
Daily bike rentals,temp,hum,0.493837725,0.04052083333333333,5020.668223974858,50
Daily bike rentals,temp,hum,0.493837725,0.08104166666666666,5020.668223974858,50
Daily bike rentals,temp,hum,0.493837725,0.12156249999999999,5024.023229974858,50
Daily bike rentals,temp,hum,0.493837725,0.16208333333333333,5026.615958641524,50
Daily bike rentals,temp,hum,0.493837725,0.20260416666666667,5029.102944641524,50
Daily bike rentals,temp,hum,0.493837725,0.24312499999999998,5029.711644641524,50
Daily bike rentals,temp,hum,0.493837725,0.2836458333333333,5030.655456641524,50
Daily bike rentals,temp,hum,0.493837725,0.32416666666666666,5031.930467706459,50
Daily bike rentals,temp,hum,0.493837725,0.3646875,5044.220106087411,50
Daily bike rentals,temp,hum,0.493837725,0.40520833333333334,5053.054040611221,50
Daily bike rentals,temp,hum,0.493837725,0.4457291666666667,5060.946541669196,50
Daily bike rentals,temp,hum,0.493837725,0.48624999999999996,5057.266364697854,50
Daily bike rentals,temp,hum,0.493837725,0.5267708333333333,5040.837862967554,50
Daily bike rentals,temp,hum,0.493837725,0.5672916666666666,5024.52708656571,50
